"Município";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"110001 ALTA FLORESTA D\'OESTE";"478";"405";"627";"1761";"1680";"1055";"6006"
"110002 ARIQUEMES";"3097";"4628";"3844";"9652";"7739";"7271";"36231"
"110003 CABIXI";"175";"96";"123";"362";"481";"339";"1576"
"110004 CACOAL";"1470";"1850";"5005";"8561";"7817";"6566";"31269"
"110005 CEREJEIRAS";"311";"284";"2174";"2042";"1496";"2611";"8918"
"110006 COLORADO DO OESTE";"321";"367";"350";"849";"709";"1135";"3731"
"110007 CORUMBIARA";"140";"133";"349";"1669";"1080";"536";"3907"
"110008 COSTA MARQUES";"297";"298";"302";"1393";"511";"582";"3383"
"110009 ESPIGAO D\'OESTE";"853";"659";"2023";"1798";"2563";"1641";"9537"
"110010 GUAJARA-MIRIM";"1869";"2124";"1045";"4835";"3479";"1836";"15188"
"110011 JARU";"1236";"899";"1503";"3946";"3771";"3304";"14659"
"110012 JI-PARANA";"2491";"3578";"4568";"11509";"8136";"8752";"39034"
"110013 MACHADINHO D\'OESTE";"1178";"650";"954";"2618";"2103";"2443";"9946"
"110014 NOVA BRASILANDIA D\'OESTE";"294";"268";"1430";"4684";"2008";"1139";"9823"
"110015 OURO PRETO DO OESTE";"812";"636";"2817";"3204";"1958";"2135";"11562"
"110018 PIMENTA BUENO";"796";"701";"978";"4066";"3930";"3520";"13991"
"110020 PORTO VELHO";"14836";"20978";"20003";"46170";"35448";"31083";"168518"
"110025 PRESIDENTE MEDICI";"430";"363";"457";"2325";"1795";"1289";"6659"
"110026 RIO CRESPO";"56";"50";"90";"269";"199";"183";"847"
"110028 ROLIM DE MOURA";"1139";"1108";"1381";"5993";"3683";"2803";"16107"
"110029 SANTA LUZIA D\'OESTE";"138";"121";"128";"1004";"359";"245";"1995"
"110030 VILHENA";"2231";"2604";"1836";"6466";"6435";"7862";"27434"
"110032 SAO MIGUEL DO GUAPORE";"674";"357";"945";"4555";"2209";"2787";"11527"
"110033 NOVA MAMORE";"1434";"1390";"1712";"1643";"1880";"1410";"9469"
"110034 ALVORADA D\'OESTE";"313";"392";"1051";"2028";"1205";"878";"5867"
"110037 ALTO ALEGRE DOS PARECIS";"235";"270";"406";"1431";"1001";"832";"4175"
"110040 ALTO PARAISO";"354";"362";"371";"397";"482";"758";"2724"
"110045 BURITIS";"951";"1171";"1023";"3150";"3042";"2054";"11391"
"110050 NOVO HORIZONTE DO OESTE";"124";"122";"127";"1206";"537";"354";"2470"
"110060 CACAULANDIA";"82";"70";"93";"234";"511";"267";"1257"
"110070 CAMPO NOVO DE RONDONIA";"171";"159";"446";"636";"738";"335";"2485"
"110080 CANDEIAS DO JAMARI";"826";"615";"672";"706";"1129";"997";"4945"
"110090 CASTANHEIRAS";"62";"61";"71";"320";"327";"171";"1012"
"110092 CHUPINGUAIA";"278";"224";"225";"471";"674";"281";"2153"
"110094 CUJUBIM";"372";"472";"369";"3084";"705";"722";"5724"
"110100 GOVERNADOR JORGE TEIXEIRA";"211";"325";"212";"829";"415";"172";"2164"
"110110 ITAPUA DO OESTE";"340";"575";"182";"370";"618";"693";"2778"
"110120 MINISTRO ANDREAZZA";"162";"127";"126";"1866";"733";"597";"3611"
"110130 MIRANTE DA SERRA";"203";"173";"217";"73";"226";"175";"1067"
"110140 MONTE NEGRO";"810";"949";"959";"2001";"1111";"1341";"7171"
"110143 NOVA UNIAO";"418";"121";"233";"80";"254";"116";"1222"
"110145 PARECIS";"63";"64";"60";"221";"235";"188";"831"
"110146 PIMENTEIRAS DO OESTE";"54";"81";"71";"138";"206";"282";"832"
"110147 PRIMAVERA DE RONDONIA";"79";"55";"106";"292";"227";"194";"953"
"110148 SAO FELIPE D\'OESTE";"77";"103";"91";"883";"413";"241";"1808"
"110149 SAO FRANCISCO DO GUAPORE";"542";"724";"520";"1528";"1099";"1168";"5581"
"110150 SERINGUEIRAS";"259";"249";"795";"691";"505";"468";"2967"
"110155 TEIXEIROPOLIS";"118";"77";"114";"218";"200";"132";"859"
"110160 THEOBROMA";"165";"442";"454";"616";"1352";"608";"3637"
"110170 URUPA";"219";"203";"255";"749";"715";"877";"3018"
"110175 VALE DO ANARI";"225";"51";"175";"1006";"881";"517";"2855"
"110180 VALE DO PARAISO";"117";"84";"140";"318";"246";"414";"1319"
"120001 ACRELANDIA";"344";"224";"252";"1242";"544";"506";"3112"
"120005 ASSIS BRASIL";"143";"238";"195";"714";"477";"775";"2542"
"120010 BRASILEIA";"1126";"670";"654";"2349";"958";"1602";"7359"
"120013 BUJARI";"451";"228";"103";"165";"386";"480";"1813"
"120017 CAPIXABA";"326";"337";"345";"442";"445";"187";"2082"
"120020 CRUZEIRO DO SUL";"3202";"3319";"2601";"7296";"5977";"1572";"23967"
"120025 EPITACIOLANDIA";"531";"360";"658";"1295";"708";"373";"3925"
"120030 FEIJO";"621";"723";"852";"2708";"2553";"1912";"9369"
"120032 JORDAO";"313";"406";"422";"1151";"418";"297";"3007"
"120033 MANCIO LIMA";"406";"371";"422";"1219";"791";"888";"4097"
"120034 MANOEL URBANO";"394";"404";"479";"681";"316";"701";"2975"
"120035 MARECHAL THAUMATURGO";"672";"377";"525";"1275";"766";"2481";"6096"
"120038 PLACIDO DE CASTRO";"821";"571";"437";"1252";"1316";"1516";"5913"
"120039 PORTO WALTER";"411";"750";"769";"856";"982";"743";"4511"
"120040 RIO BRANCO";"8644";"7365";"8378";"16088";"15860";"14126";"70461"
"120042 RODRIGUES ALVES";"769";"733";"312";"328";"531";"274";"2947"
"120043 SANTA ROSA DO PURUS";"483";"545";"394";"835";"312";"362";"2931"
"120045 SENADOR GUIOMARD";"461";"358";"596";"1673";"841";"660";"4589"
"120050 SENA MADUREIRA";"1771";"1129";"1186";"3910";"1905";"1568";"11469"
"120060 TARAUACA";"1381";"1053";"2255";"3897";"2514";"2143";"13243"
"120070 XAPURI";"419";"293";"477";"1462";"630";"602";"3883"
"120080 PORTO ACRE";"424";"271";"364";"1357";"551";"900";"3867"
"130002 ALVARAES";"852";"676";"833";"2969";"1837";"1847";"9014"
"130006 AMATURA";"618";"363";"669";"1388";"1008";"826";"4872"
"130008 ANAMA";"1154";"113";"190";"1852";"471";"323";"4103"
"130010 ANORI";"555";"220";"557";"3797";"448";"711";"6288"
"130014 APUI";"362";"534";"670";"1950";"1012";"786";"5314"
"130020 ATALAIA DO NORTE";"1021";"433";"645";"4258";"1149";"1026";"8532"
"130030 AUTAZES";"2511";"1581";"1098";"8368";"3792";"2182";"19532"
"130040 BARCELOS";"234";"620";"708";"2373";"543";"455";"4933"
"130050 BARREIRINHA";"993";"997";"1331";"5923";"1783";"4004";"15031"
"130060 BENJAMIN CONSTANT";"3460";"1018";"1834";"4780";"5196";"4911";"21199"
"130063 BERURI";"796";"666";"886";"5007";"1722";"792";"9869"
"130068 BOA VISTA DO RAMOS";"651";"426";"1064";"2807";"570";"824";"6342"
"130070 BOCA DO ACRE";"1733";"701";"990";"3871";"1463";"1824";"10582"
"130080 BORBA";"1247";"1051";"1329";"5964";"1949";"1510";"13050"
"130083 CAAPIRANGA";"1241";"252";"211";"2096";"370";"487";"4657"
"130090 CANUTAMA";"332";"272";"464";"2295";"473";"243";"4079"
"130100 CARAUARI";"772";"919";"1224";"5175";"2217";"2577";"12884"
"130110 CAREIRO";"1305";"1252";"1588";"6852";"2082";"1453";"14532"
"130115 CAREIRO DA VARZEA";"850";"1021";"486";"4940";"1239";"909";"9445"
"130120 COARI";"3464";"2516";"2496";"11769";"5520";"4837";"30602"
"130130 CODAJAS";"832";"2246";"1917";"4999";"2303";"1584";"13881"
"130140 EIRUNEPE";"1981";"664";"1082";"4608";"1350";"1220";"10905"
"130150 ENVIRA";"924";"601";"513";"720";"878";"1862";"5498"
"130160 FONTE BOA";"951";"551";"519";"1966";"1048";"786";"5821"
"130165 GUAJARA";"1647";"573";"2184";"2567";"1445";"786";"9202"
"130170 HUMAITA";"1497";"1982";"1792";"9971";"5368";"4361";"24971"
"130180 IPIXUNA";"744";"841";"878";"1523";"1053";"664";"5703"
"130185 IRANDUBA";"1971";"1682";"1979";"18029";"4255";"2844";"30760"
"130190 ITACOATIARA";"2136";"3021";"3450";"17599";"7852";"7016";"41074"
"130195 ITAMARATI";"188";"261";"387";"1580";"751";"381";"3548"
"130200 ITAPIRANGA";"340";"358";"510";"1704";"1143";"880";"4935"
"130210 JAPURA";"238";"336";"139";"1774";"595";"503";"3585"
"130220 JURUA";"695";"417";"737";"3467";"498";"719";"6533"
"130230 JUTAI";"726";"356";"1579";"4517";"2761";"776";"10715"
"130240 LABREA";"1863";"2016";"1627";"4847";"2533";"1950";"14836"
